String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
(GxGxGy)^2GxGx,580,420,"[1, 1, 2, 1, 1, 2, 1, 1]",[1 1 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.58,0.42,8
Gy(GxGxGy)^2Gy,403,597,"[2, 1, 1, 2, 1, 1, 2, 2]",[2 1 1 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.403,0.597,8
GxGx(GxGxGy)^2,972,28,"[1, 1, 1, 1, 2, 1, 1, 2]",[1 1 1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.972,0.028,8
GxGx(GiGyGxGxGyGy)Gy,390,610,"[1, 1, 3, 2, 1, 1, 2, 2, 2]",[1 1 3 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0],0.39,0.61,9
Gy(Gi)^8,476,524,"[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0],0.476,0.524,9
Gy(GxGxGyGxGyGy)GxGx,172,828,"[2, 1, 1, 2, 1, 2, 2, 1, 1]",[2 1 1 2 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0],0.172,0.828,9
GxGx(GxGxGyGxGyGy)Gy,30,970,"[1, 1, 1, 1, 2, 1, 2, 2, 2]",[1 1 1 1 2 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0],0.03,0.97,9
(Gi)^8Gy,480,520,"[3, 3, 3, 3, 3, 3, 3, 3, 2]",[3 3 3 3 3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0],0.48,0.52,9
Gy(Gx)^8,480,520,"[2, 1, 1, 1, 1, 1, 1, 1, 1]",[2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.48,0.52,9
GyGy(GxGxGyGxGyGy)Gy,554,446,"[2, 2, 1, 1, 2, 1, 2, 2, 2]",[2 2 1 1 2 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0],0.554,0.446,9
GyGy(GiGyGyGyGxGx)Gy,0,1000,"[2, 2, 3, 2, 2, 2, 1, 1, 2]",[2 2 3 2 2 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,9
(Gx)^8Gy,476,524,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",[1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0],0.476,0.524,9
GyGy(GiGyGx)^2Gy,493,507,"[2, 2, 3, 2, 1, 3, 2, 1, 2]",[2 2 3 2 1 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0],0.493,0.507,9
GyGy(GiGyGxGxGyGy)Gy,0,1000,"[2, 2, 3, 2, 1, 1, 2, 2, 2]",[2 2 3 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,9
Gy(GiGyGxGxGyGy)GxGx,1000,0,"[2, 3, 2, 1, 1, 2, 2, 1, 1]",[2 3 2 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,9
Gy(GiGyGyGyGxGx)GxGx,30,970,"[2, 3, 2, 2, 2, 1, 1, 1, 1]",[2 3 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.03,0.97,9
GxGx(GiGyGyGyGxGx)Gy,389,611,"[1, 1, 3, 2, 2, 2, 1, 1, 2]",[1 1 3 2 2 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0],0.389,0.611,9
GyGy(GxGxGy)^2Gy,13,987,"[2, 2, 1, 1, 2, 1, 1, 2, 2]",[2 2 1 1 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0],0.013,0.987,9
GxGx(GxGxGy)^2Gy,329,671,"[1, 1, 1, 1, 2, 1, 1, 2, 2]",[1 1 1 1 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0],0.329,0.671,9
Gy(GxGxGy)^2GxGx,983,17,"[2, 1, 1, 2, 1, 1, 2, 1, 1]",[2 1 1 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0],0.983,0.017,9
GyGy(GiGxGyGyGyGx)Gy,818,182,"[2, 2, 3, 1, 2, 2, 2, 1, 2]",[2 2 3 1 2 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0],0.818,0.182,9
GxGx(GiGyGx)^2Gy,119,881,"[1, 1, 3, 2, 1, 3, 2, 1, 2]",[1 1 3 2 1 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0],0.119,0.881,9
GxGx(GiGxGx)^2Gy,490,510,"[1, 1, 3, 1, 1, 3, 1, 1, 2]",[1 1 3 1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0],0.49,0.51,9
Gy(GiGxGx)^2GxGx,481,519,"[2, 3, 1, 1, 3, 1, 1, 1, 1]",[2 3 1 1 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.481,0.519,9
GxGx(GiGxGyGyGyGx)Gy,937,63,"[1, 1, 3, 1, 2, 2, 2, 1, 2]",[1 1 3 1 2 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0],0.937,0.063,9
GyGy(GiGxGx)^2Gy,516,484,"[2, 2, 3, 1, 1, 3, 1, 1, 2]",[2 2 3 1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0],0.516,0.484,9
Gy(GiGxGyGyGyGx)GxGx,932,68,"[2, 3, 1, 2, 2, 2, 1, 1, 1]",[2 3 1 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.932,0.068,9
(Gy)^8Gy,504,496,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0],0.504,0.496,9
Gy(GiGyGx)^2GxGx,670,330,"[2, 3, 2, 1, 3, 2, 1, 1, 1]",[2 3 2 1 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.67,0.33,9
GxGx(GiGxGyGyGyGx)GxGx,396,604,"[1, 1, 3, 1, 2, 2, 2, 1, 1, 1]",[1 1 3 1 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0],0.396,0.604,10
GxGx(GxGxGyGxGyGy)GxGx,342,658,"[1, 1, 1, 1, 2, 1, 2, 2, 1, 1]",[1 1 1 1 2 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0],0.342,0.658,10
Gy(Gi)^8Gy,0,1000,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[2 3 3 3 3 3 3 3 3 2 0 0 0 0 0 0 0 0 0 0],0.0,1.0,10
GxGx(Gi)^8,375,625,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3]",[1 1 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0],0.375,0.625,10
GyGy(GiGxGyGyGyGx)GxGx,700,300,"[2, 2, 3, 1, 2, 2, 2, 1, 1, 1]",[2 2 3 1 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0],0.7,0.3,10
GyGy(GiGyGyGyGxGx)GxGx,486,514,"[2, 2, 3, 2, 2, 2, 1, 1, 1, 1]",[2 2 3 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.486,0.514,10
GxGx(GiGyGyGyGxGx)GxGx,675,325,"[1, 1, 3, 2, 2, 2, 1, 1, 1, 1]",[1 1 3 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.675,0.325,10
(Gi)^8GxGx,398,602,"[3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[3 3 3 3 3 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0],0.398,0.602,10
GxGx(GxGxGy)^2GxGx,364,636,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1]",[1 1 1 1 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0],0.364,0.636,10
GyGy(GxGxGyGxGyGy)GxGx,124,876,"[2, 2, 1, 1, 2, 1, 2, 2, 1, 1]",[2 2 1 1 2 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0],0.124,0.876,10
GxGx(Gy)^8,403,597,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",[1 1 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0],0.403,0.597,10
(Gy)^8GxGx,406,594,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0],0.406,0.594,10
Gy(Gy)^8Gy,0,1000,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0],0.0,1.0,10
GyGy(Gx)^8,145,855,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",[2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.145,0.855,10
GyGy(GiGxGx)^2GxGx,231,769,"[2, 2, 3, 1, 1, 3, 1, 1, 1, 1]",[2 2 3 1 1 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.231,0.769,10
GyGy(GiGyGx)^2GxGx,941,59,"[2, 2, 3, 2, 1, 3, 2, 1, 1, 1]",[2 2 3 2 1 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0],0.941,0.059,10
GxGx(GiGxGx)^2GxGx,861,139,"[1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",[1 1 3 1 1 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.861,0.139,10
GxGx(GiGyGxGxGyGy)GxGx,505,495,"[1, 1, 3, 2, 1, 1, 2, 2, 1, 1]",[1 1 3 2 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0],0.505,0.495,10
GyGy(GiGyGxGxGyGy)GxGx,525,475,"[2, 2, 3, 2, 1, 1, 2, 2, 1, 1]",[2 2 3 2 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0],0.525,0.475,10
(Gx)^8GxGx,80,920,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.08,0.92,10
GyGy(Gi)^8,0,1000,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3]",[2 2 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0],0.0,1.0,10
GyGy(GxGxGy)^2GxGx,435,565,"[2, 2, 1, 1, 2, 1, 1, 2, 1, 1]",[2 2 1 1 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0],0.435,0.565,10
Gy(Gx)^8Gy,0,1000,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[2 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0],0.0,1.0,10
GxGx(GiGyGx)^2GxGx,425,575,"[1, 1, 3, 2, 1, 3, 2, 1, 1, 1]",[1 1 3 2 1 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0],0.425,0.575,10
GyGy(Gy)^8Gy,501,499,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0],0.501,0.499,11
GxGx(Gy)^8Gy,525,475,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[1 1 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0],0.525,0.475,11
Gy(Gy)^8GxGx,519,481,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0],0.519,0.481,11
GyGy(Gi)^8Gy,525,475,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[2 2 3 3 3 3 3 3 3 3 2 0 0 0 0 0 0 0 0 0],0.525,0.475,11
GyGy(Gx)^8Gy,496,504,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[2 2 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0],0.496,0.504,11
GxGx(Gx)^8Gy,499,501,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",[1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0],0.499,0.501,11
Gy(Gx)^8GxGx,517,483,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],0.517,0.483,11
Gy(Gi)^8GxGx,483,517,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[2 3 3 3 3 3 3 3 3 1 1 0 0 0 0 0 0 0 0 0],0.483,0.517,11
GxGx(Gi)^8Gy,490,510,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2]",[1 1 3 3 3 3 3 3 3 3 2 0 0 0 0 0 0 0 0 0],0.49,0.51,11
GxGx(Gy)^8GxGx,36,964,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[1 1 2 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0],0.036,0.964,12
GyGy(Gx)^8GxGx,931,69,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[2 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],0.931,0.069,12
GxGx(Gx)^8GxGx,287,713,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],0.287,0.713,12
GyGy(Gi)^8GxGx,593,407,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[2 2 3 3 3 3 3 3 3 3 1 1 0 0 0 0 0 0 0 0],0.593,0.407,12
(GiGyGyGyGxGx)^2,624,376,"[3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1]",[3 2 2 2 1 1 3 2 2 2 1 1 0 0 0 0 0 0 0 0],0.624,0.376,12
GyGy(Gy)^8GxGx,581,419,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0],0.581,0.419,12
(GiGxGyGyGyGx)^2,340,660,"[3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1]",[3 1 2 2 2 1 3 1 2 2 2 1 0 0 0 0 0 0 0 0],0.34,0.66,12
(GxGxGyGxGyGy)^2,670,330,"[1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2]",[1 1 2 1 2 2 1 1 2 1 2 2 0 0 0 0 0 0 0 0],0.67,0.33,12
(GiGyGxGxGyGy)^2,631,369,"[3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2]",[3 2 1 1 2 2 3 2 1 1 2 2 0 0 0 0 0 0 0 0],0.631,0.369,12
GxGx(Gi)^8GxGx,37,963,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1]",[1 1 3 3 3 3 3 3 3 3 1 1 0 0 0 0 0 0 0 0],0.037,0.963,12
(GiGyGxGxGyGy)^2Gy,521,479,"[3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2]",[3 2 1 1 2 2 3 2 1 1 2 2 2 0 0 0 0 0 0 0],0.521,0.479,13
(GxGxGyGxGyGy)^2Gy,873,127,"[1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2]",[1 1 2 1 2 2 1 1 2 1 2 2 2 0 0 0 0 0 0 0],0.873,0.127,13
(GiGxGyGyGyGx)^2Gy,877,123,"[3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2]",[3 1 2 2 2 1 3 1 2 2 2 1 2 0 0 0 0 0 0 0],0.877,0.123,13
Gy(GxGxGyGxGyGy)^2,829,171,"[2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2]",[2 1 1 2 1 2 2 1 1 2 1 2 2 0 0 0 0 0 0 0],0.829,0.171,13
Gy(GiGxGyGyGyGx)^2,870,130,"[2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1]",[2 3 1 2 2 2 1 3 1 2 2 2 1 0 0 0 0 0 0 0],0.87,0.13,13
Gy(GiGyGxGxGyGy)^2,18,982,"[2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2]",[2 3 2 1 1 2 2 3 2 1 1 2 2 0 0 0 0 0 0 0],0.018,0.982,13
(GiGyGyGyGxGx)^2Gy,517,483,"[3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2]",[3 2 2 2 1 1 3 2 2 2 1 1 2 0 0 0 0 0 0 0],0.517,0.483,13
Gy(GiGyGyGyGxGx)^2,17,983,"[2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1]",[2 3 2 2 2 1 1 3 2 2 2 1 1 0 0 0 0 0 0 0],0.017,0.983,13
GyGy(GiGyGxGxGyGy)^2,431,569,"[2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2]",[2 2 3 2 1 1 2 2 3 2 1 1 2 2 0 0 0 0 0 0],0.431,0.569,14
Gy(GiGyGyGyGxGx)^2Gy,410,590,"[2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2]",[2 3 2 2 2 1 1 3 2 2 2 1 1 2 0 0 0 0 0 0],0.41,0.59,14
(GxGxGyGxGyGy)^2GxGx,205,795,"[1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1]",[1 1 2 1 2 2 1 1 2 1 2 2 1 1 0 0 0 0 0 0],0.205,0.795,14
GyGy(GiGyGyGyGxGx)^2,398,602,"[2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1]",[2 2 3 2 2 2 1 1 3 2 2 2 1 1 0 0 0 0 0 0],0.398,0.602,14
GxGx(GiGyGyGyGxGx)^2,579,421,"[1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1]",[1 1 3 2 2 2 1 1 3 2 2 2 1 1 0 0 0 0 0 0],0.579,0.421,14
(GiGyGxGxGyGy)^2GxGx,0,1000,"[3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1]",[3 2 1 1 2 2 3 2 1 1 2 2 1 1 0 0 0 0 0 0],0.0,1.0,14
GxGx(GxGxGyGxGyGy)^2,103,897,"[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2]",[1 1 1 1 2 1 2 2 1 1 2 1 2 2 0 0 0 0 0 0],0.103,0.897,14
GxGx(GiGyGxGxGyGy)^2,376,624,"[1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2]",[1 1 3 2 1 1 2 2 3 2 1 1 2 2 0 0 0 0 0 0],0.376,0.624,14
GyGy(GxGxGyGxGyGy)^2,322,678,"[2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2]",[2 2 1 1 2 1 2 2 1 1 2 1 2 2 0 0 0 0 0 0],0.322,0.678,14
Gy(GiGyGxGxGyGy)^2Gy,409,591,"[2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2]",[2 3 2 1 1 2 2 3 2 1 1 2 2 2 0 0 0 0 0 0],0.409,0.591,14
(GiGxGyGyGyGx)^2GxGx,800,200,"[3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1]",[3 1 2 2 2 1 3 1 2 2 2 1 1 1 0 0 0 0 0 0],0.8,0.2,14
Gy(GiGxGyGyGyGx)^2Gy,409,591,"[2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2]",[2 3 1 2 2 2 1 3 1 2 2 2 1 2 0 0 0 0 0 0],0.409,0.591,14
GxGx(GiGxGyGyGyGx)^2,821,179,"[1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1]",[1 1 3 1 2 2 2 1 3 1 2 2 2 1 0 0 0 0 0 0],0.821,0.179,14
GyGy(GiGxGyGyGyGx)^2,668,332,"[2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1]",[2 2 3 1 2 2 2 1 3 1 2 2 2 1 0 0 0 0 0 0],0.668,0.332,14
Gy(GxGxGyGxGyGy)^2Gy,196,804,"[2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2]",[2 1 1 2 1 2 2 1 1 2 1 2 2 2 0 0 0 0 0 0],0.196,0.804,14
(GiGyGyGyGxGx)^2GxGx,961,39,"[3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1]",[3 2 2 2 1 1 3 2 2 2 1 1 1 1 0 0 0 0 0 0],0.961,0.039,14
GxGx(GiGyGxGxGyGy)^2Gy,986,14,"[1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2]",[1 1 3 2 1 1 2 2 3 2 1 1 2 2 2 0 0 0 0 0],0.986,0.014,15
Gy(GiGyGxGxGyGy)^2GxGx,519,481,"[2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1]",[2 3 2 1 1 2 2 3 2 1 1 2 2 1 1 0 0 0 0 0],0.519,0.481,15
GyGy(GiGyGxGxGyGy)^2Gy,475,525,"[2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2]",[2 2 3 2 1 1 2 2 3 2 1 1 2 2 2 0 0 0 0 0],0.475,0.525,15
(GiGxGx)^5,81,919,"[3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1]",[3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 0 0 0 0 0],0.081,0.919,15
(GxGxGy)^5,715,285,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2]",[1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 0 0 0 0 0],0.715,0.285,15
GyGy(GxGxGyGxGyGy)^2Gy,123,877,"[2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2]",[2 2 1 1 2 1 2 2 1 1 2 1 2 2 2 0 0 0 0 0],0.123,0.877,15
GxGx(GiGyGyGyGxGx)^2Gy,17,983,"[1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2]",[1 1 3 2 2 2 1 1 3 2 2 2 1 1 2 0 0 0 0 0],0.017,0.983,15
GyGy(GiGxGyGyGyGx)^2Gy,116,884,"[2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2]",[2 2 3 1 2 2 2 1 3 1 2 2 2 1 2 0 0 0 0 0],0.116,0.884,15
GxGx(GiGxGyGyGyGx)^2Gy,754,246,"[1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2]",[1 1 3 1 2 2 2 1 3 1 2 2 2 1 2 0 0 0 0 0],0.754,0.246,15
Gy(GiGxGyGyGyGx)^2GxGx,716,284,"[2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1]",[2 3 1 2 2 2 1 3 1 2 2 2 1 1 1 0 0 0 0 0],0.716,0.284,15
Gy(GiGyGyGyGxGx)^2GxGx,688,312,"[2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1]",[2 3 2 2 2 1 1 3 2 2 2 1 1 1 1 0 0 0 0 0],0.688,0.312,15
GxGx(GxGxGyGxGyGy)^2Gy,374,626,"[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2]",[1 1 1 1 2 1 2 2 1 1 2 1 2 2 2 0 0 0 0 0],0.374,0.626,15
(GiGyGx)^5,999,1,"[3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1]",[3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 0 0 0 0 0],0.999,0.001,15
GyGy(GiGyGyGyGxGx)^2Gy,507,493,"[2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2]",[2 2 3 2 2 2 1 1 3 2 2 2 1 1 2 0 0 0 0 0],0.507,0.493,15
Gy(GxGxGyGxGyGy)^2GxGx,184,816,"[2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1]",[2 1 1 2 1 2 2 1 1 2 1 2 2 1 1 0 0 0 0 0],0.184,0.816,15
GxGx(GiGyGxGxGyGy)^2GxGx,612,388,"[1, 1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1]",[1 1 3 2 1 1 2 2 3 2 1 1 2 2 1 1 0 0 0 0],0.612,0.388,16
GyGy(GiGyGyGyGxGx)^2GxGx,40,960,"[2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1]",[2 2 3 2 2 2 1 1 3 2 2 2 1 1 1 1 0 0 0 0],0.04,0.96,16
GyGy(GxGxGyGxGyGy)^2GxGx,782,218,"[2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1]",[2 2 1 1 2 1 2 2 1 1 2 1 2 2 1 1 0 0 0 0],0.782,0.218,16
GyGy(GiGyGxGxGyGy)^2GxGx,1000,0,"[2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1]",[2 2 3 2 1 1 2 2 3 2 1 1 2 2 1 1 0 0 0 0],1.0,0.0,16
GxGx(GiGxGyGyGyGx)^2GxGx,147,853,"[1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1]",[1 1 3 1 2 2 2 1 3 1 2 2 2 1 1 1 0 0 0 0],0.147,0.853,16
GxGx(GiGyGyGyGxGx)^2GxGx,346,654,"[1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1]",[1 1 3 2 2 2 1 1 3 2 2 2 1 1 1 1 0 0 0 0],0.346,0.654,16
(GiGyGx)^5Gy,499,501,"[3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2]",[3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 2 0 0 0 0],0.499,0.501,16
Gy(GiGyGx)^5,475,525,"[2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1]",[2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 0 0 0 0],0.475,0.525,16
GxGx(GxGxGyGxGyGy)^2GxGx,294,706,"[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1]",[1 1 1 1 2 1 2 2 1 1 2 1 2 2 1 1 0 0 0 0],0.294,0.706,16
GyGy(GiGxGyGyGyGx)^2GxGx,178,822,"[2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1]",[2 2 3 1 2 2 2 1 3 1 2 2 2 1 1 1 0 0 0 0],0.178,0.822,16
(Gi)^16,1000,0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0],1.0,0.0,16
Gy(GxGxGy)^5,598,402,"[2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2]",[2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 0 0 0 0],0.598,0.402,16
(GiGxGx)^5Gy,486,514,"[3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2]",[3 1 1 3 1 1 3 1 1 3 1 1 3 1 1 2 0 0 0 0],0.486,0.514,16
