String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
Gy(Gi)GxGx,513,487,"[2, 3, 1, 1]",[2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.513,0.487,4
(GiGyGx)GxGx,497,503,"[3, 2, 1, 1, 1]",[3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.497,0.503,5
(Gi)^4Gy,504,496,"[3, 3, 3, 3, 2]",[3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.504,0.496,5
Gy(Gi)^4,496,504,"[2, 3, 3, 3, 3]",[2 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.496,0.504,5
(GiGxGx)GxGx,34,966,"[3, 1, 1, 1, 1]",[3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.034,0.966,5
GxGx(GiGyGx),864,136,"[1, 1, 3, 2, 1]",[1 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.864,0.136,5
Gy(GiGxGx)Gy,0,1000,"[2, 3, 1, 1, 2]",[2 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,5
Gy(GiGyGx)Gy,540,460,"[2, 3, 2, 1, 2]",[2 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.54,0.46,5
GyGy(Gy)^2Gy,504,496,"[2, 2, 2, 2, 2]",[2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.504,0.496,5
Gy(GxGxGy)Gy,520,480,"[2, 1, 1, 2, 2]",[2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.52,0.48,5
GyGy(GiGyGx),483,517,"[2, 2, 3, 2, 1]",[2 2 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.483,0.517,5
GxGx(Gy)^2Gy,511,489,"[1, 1, 2, 2, 2]",[1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.511,0.489,5
GyGy(Gx)^2Gy,516,484,"[2, 2, 1, 1, 2]",[2 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.516,0.484,5
GyGy(Gi)^2Gy,495,505,"[2, 2, 3, 3, 2]",[2 2 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.495,0.505,5
GyGy(Gy)GxGx,500,500,"[2, 2, 2, 1, 1]",[2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.5,0.5,5
GxGx(Gy)GxGx,10,990,"[1, 1, 2, 1, 1]",[1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.01,0.99,5
Gy(Gi)^2GxGx,494,506,"[2, 3, 3, 1, 1]",[2 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.494,0.506,5
GxGx(Gx)GxGx,651,349,"[1, 1, 1, 1, 1]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.651,0.349,5
GyGy(Gx)GxGx,52,948,"[2, 2, 1, 1, 1]",[2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.052,0.948,5
Gy(Gx)^2GxGx,474,526,"[2, 1, 1, 1, 1]",[2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.474,0.526,5
GxGx(Gx)^2Gy,509,491,"[1, 1, 1, 1, 2]",[1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.509,0.491,5
GxGx(Gi)GxGx,39,961,"[1, 1, 3, 1, 1]",[1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.039,0.961,5
GyGy(Gi)GxGx,576,424,"[2, 2, 3, 1, 1]",[2 2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.576,0.424,5
GxGx(Gi)^2Gy,502,498,"[1, 1, 3, 3, 2]",[1 1 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.502,0.498,5
GxGx(GxGxGy)Gy,967,33,"[1, 1, 1, 1, 2, 2]",[1 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.967,0.033,6
Gy(GxGxGy)GxGx,605,395,"[2, 1, 1, 2, 1, 1]",[2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.605,0.395,6
(GxGxGyGxGyGy),116,884,"[1, 1, 2, 1, 2, 2]",[1 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.116,0.884,6
GyGy(GxGxGy)Gy,386,614,"[2, 2, 1, 1, 2, 2]",[2 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.386,0.614,6
GxGx(Gi)^2GxGx,34,966,"[1, 1, 3, 3, 1, 1]",[1 1 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.034,0.966,6
(GiGxGyGyGyGx),189,811,"[3, 1, 2, 2, 2, 1]",[3 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.189,0.811,6
GxGx(GiGxGx)Gy,499,501,"[1, 1, 3, 1, 1, 2]",[1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.499,0.501,6
GyGy(GiGxGx)Gy,502,498,"[2, 2, 3, 1, 1, 2]",[2 2 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.502,0.498,6
Gy(GiGyGx)GxGx,47,953,"[2, 3, 2, 1, 1, 1]",[2 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.047,0.953,6
GxGx(GiGyGx)Gy,581,419,"[1, 1, 3, 2, 1, 2]",[1 1 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.581,0.419,6
Gy(GiGxGx)GxGx,533,467,"[2, 3, 1, 1, 1, 1]",[2 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.533,0.467,6
