Epoch,Predicted_Values,X_Depolarizing_Error,Y_Depolarizing_Error,X_Over_Rotation_Error,Y_Over_Rotation_Error
1,[-0.74004847  0.71924184  0.19213711  0.47030982],-0.7400484681129456,0.7192418376604716,0.1921371122201284,0.4703098237514496
2,[-0.64991283  0.66608761  0.16882611  0.44908482],-0.6499128341674805,0.6660876075426737,0.16882611314455667,0.4490848183631897
3,[-0.53719877  0.60834024  0.14739293  0.42918636],-0.5371987720330557,0.6083402434984843,0.14739293356736502,0.4291863640149434
4,[-0.39696032  0.54430423  0.1262135   0.40923122],-0.3969603180885315,0.5443042318026224,0.12621349593003592,0.4092312157154083
5,[-0.23114748  0.47315359  0.10569537  0.38717322],-0.23114747802416483,0.47315359115600586,0.10569537431001663,0.38717321554819745
6,[-0.05447854  0.39051549  0.08829661  0.36079837],-0.05447854350010554,0.3905154863993327,0.08829660962025325,0.3607983688513438
7,[0.09141509 0.28095181 0.08029854 0.32671047],0.0914150873819987,0.2809518078962962,0.0802985429763794,0.3267104725042979
8,[0.13310177 0.14394307 0.0811908  0.28842902],0.13310176879167557,0.14394307136535645,0.08119079967339833,0.28842902183532715
9,[0.10247814 0.00624847 0.08712474 0.24949526],0.10247813910245895,0.0062484730733558536,0.08712474256753922,0.24949525793393454
10,[ 0.03657787 -0.08774562  0.09994122  0.20907217],0.03657787432894111,-0.08774561683336894,0.09994121640920639,0.2090721676747004
11,[-0.03460577 -0.13004976  0.11436729  0.17223763],-0.034605771681526676,-0.13004975765943527,0.11436728636423747,0.17223762969175974
12,[-0.05900653 -0.1218618   0.12249113  0.14334831],-0.05900653451681137,-0.12186179806788762,0.12249113122622173,0.1433483064174652
13,[-0.03574381 -0.07920152  0.12216222  0.12817593],-0.03574381458262602,-0.07920151700576146,0.12216222286224365,0.12817592918872833
14,[ 0.00689004 -0.02651079  0.11546651  0.13343895],0.006890037679113448,-0.026510790611306827,0.11546651025613149,0.1334389547506968
15,[0.04079106 0.01355102 0.10716183 0.16145608],0.04079106201728185,0.013551019442578157,0.10716182738542557,0.16145607829093933
16,[0.05027081 0.03815223 0.10178909 0.20012489],0.05027081444859505,0.03815222904086113,0.10178908954064052,0.20012489457925162
17,[0.03360433 0.04294587 0.09969246 0.232514  ],0.033604330072800316,0.04294586554169655,0.09969245890776317,0.2325139989455541
18,[0.00573127 0.03558551 0.10060875 0.24634976],0.005731267927330919,0.035585508992274605,0.10060875366131465,0.24634975691636404
19,[-0.01754553  0.02621342  0.10342525  0.23859087],-0.01754553138744086,0.026213417450586956,0.10342524945735931,0.2385908712943395
20,[-0.0258668   0.0150381   0.10569364  0.21685505],-0.025866801540056866,0.015038101468235254,0.10569364329179128,0.21685504913330078
