Epoch,Training_Loss,Learning_Rate
109,3.662595e-05,9.4999996e-07
110,3.5081994e-05,9.4999996e-07
111,3.4045956e-05,9.4999996e-07
112,3.295147e-05,9.4999996e-07
113,3.237597e-05,9.4999996e-07
114,3.132293e-05,9.4999996e-07
115,3.099539e-05,9.4999996e-07
116,3.0191854e-05,9.4999996e-07
117,2.997248e-05,9.4999996e-07
118,2.9213763e-05,9.4999996e-07
119,2.9174524e-05,9.4999996e-07
120,2.841827e-05,9.4999996e-07
121,2.8587981e-05,9.4999996e-07
122,2.7753129e-05,9.4999996e-07
123,2.8166052e-05,9.4999996e-07
124,2.7234564e-05,9.4999996e-07
125,2.8022236e-05,9.4999996e-07
126,2.6847994e-05,9.4999996e-07
127,2.833871e-05,9.4999996e-07
128,2.6908194e-05,9.4999996e-07
129,2.9684852e-05,9.4999996e-07
130,2.8145776e-05,9.4999996e-07
131,3.372674e-05,9.4999996e-07
132,3.3051845e-05,9.4999996e-07
133,4.54348e-05,9.4999996e-07
134,4.9637772e-05,9.0249995e-07
135,7.621355e-05,9.0249995e-07
136,8.8320405e-05,9.0249995e-07
137,0.00013741023,9.0249995e-07
138,0.00016755243,9.0249995e-07
139,0.00014606614,9.0249995e-07
140,0.00046783083,9.0249995e-07
141,0.00018635935,9.0249995e-07
142,0.0005233901,9.0249995e-07
143,0.00012079748,9.0249995e-07
144,0.00055445504,9.0249995e-07
145,8.788173e-05,9.0249995e-07
146,0.00024160545,9.0249995e-07
147,8.311007e-05,9.0249995e-07
148,0.0004187415,9.0249995e-07
149,0.00019964138,9.0249995e-07
150,0.00079942215,9.0249995e-07
151,0.00012142925,9.0249995e-07
152,0.0008111507,9.0249995e-07
153,0.00012151032,9.0249995e-07
154,0.00021107019,9.0249995e-07
155,8.6222666e-05,9.0249995e-07
156,0.00045537789,9.0249995e-07
157,0.0001601883,9.0249995e-07
158,0.00060679467,9.0249995e-07
159,0.00016577885,9.0249995e-07
160,0.0010308138,9.0249995e-07
161,0.00011177547,9.0249995e-07
162,0.0004488084,9.0249995e-07
163,7.3149546e-05,9.0249995e-07
164,0.00050135417,9.0249995e-07
165,0.000108863205,9.0249995e-07
166,0.0005498189,9.0249995e-07
167,0.0001487052,9.0249995e-07
168,0.00086424855,9.0249995e-07
169,0.00011179073,9.0249995e-07
170,0.0006774135,9.0249995e-07
171,0.00017774051,9.0249995e-07
172,0.0010475271,9.0249995e-07
173,0.00020350488,9.0249995e-07
174,0.0008562163,9.0249995e-07
175,0.00045930492,9.0249995e-07
176,0.00029932466,9.0249995e-07
177,0.00023788882,9.0249995e-07
178,0.00011112643,9.0249995e-07
179,0.00020104558,9.0249995e-07
180,0.00020142719,9.0249995e-07
181,6.978759e-05,9.0249995e-07
182,8.8606255e-05,9.0249995e-07
183,8.174801e-05,9.0249995e-07
184,7.118631e-05,9.0249995e-07
185,5.1339837e-05,9.0249995e-07
186,4.879719e-05,9.0249995e-07
187,4.3597334e-05,9.0249995e-07
188,4.2718504e-05,9.0249995e-07
189,3.514427e-05,9.0249995e-07
190,0.00011533479,9.0249995e-07
191,0.00012706302,9.0249995e-07
192,0.00027225463,9.0249995e-07
193,0.0008924811,9.0249995e-07
194,0.001450194,9.0249995e-07
195,0.0027472663,9.0249995e-07
196,0.0008089035,9.0249995e-07
197,0.0017732406,9.0249995e-07
198,0.0020459716,9.0249995e-07
199,0.0014948206,9.0249995e-07
200,0.00039839846,8.5737497e-07
201,0.0006639464,8.5737497e-07
202,0.0005686786,8.5737497e-07
203,0.00020607402,8.5737497e-07
204,0.00033874696,8.5737497e-07
205,0.00031598494,8.5737497e-07
206,9.7025506e-05,8.5737497e-07
207,0.00012591005,8.5737497e-07
208,0.00012992027,8.5737497e-07
209,9.038745e-05,8.5737497e-07
210,9.2342736e-05,8.5737497e-07
211,8.580942e-05,8.5737497e-07
212,4.510221e-05,8.5737497e-07
213,4.4401637e-05,8.5737497e-07
214,5.028072e-05,8.5737497e-07
215,4.8391783e-05,8.5737497e-07
216,4.450086e-05,8.5737497e-07
217,4.2246244e-05,8.5737497e-07
218,3.7583235e-05,8.5737497e-07
219,3.2223255e-05,8.5737497e-07
220,3.5632755e-05,8.5737497e-07
221,3.69951e-05,8.5737497e-07
222,3.884418e-05,8.5737497e-07
223,3.880037e-05,8.5737497e-07
224,4.0534986e-05,8.5737497e-07
225,3.9291674e-05,8.5737497e-07
226,4.1877178e-05,8.5737497e-07
227,4.4159908e-05,8.5737497e-07
228,4.8521673e-05,8.5737497e-07
229,5.2481908e-05,8.5737497e-07
230,5.6275352e-05,8.5737497e-07
231,6.0933817e-05,8.5737497e-07
232,6.5289394e-05,8.5737497e-07
233,7.307641e-05,8.5737497e-07
234,7.8585734e-05,8.5737497e-07
235,9.097203e-05,8.5737497e-07
236,9.6787815e-05,8.5737497e-07
237,0.000113917886,8.5737497e-07
238,0.000118187716,8.5737497e-07
239,0.00014094498,8.5737497e-07
240,0.00014331657,8.5737497e-07
241,0.00017318393,8.5737497e-07
242,0.0001706652,8.5737497e-07
243,0.0002055173,8.5737497e-07
244,0.00019455313,8.5737497e-07
245,0.00022974146,8.5737497e-07
246,0.00020779471,8.5737497e-07
247,0.00023647385,8.5737497e-07
248,0.0002041193,8.5737497e-07
249,0.00021993369,8.5737497e-07
250,0.00018072191,8.5737497e-07
251,0.00018185431,8.5737497e-07
252,0.0001429156,8.5737497e-07
253,0.00013453739,8.5737497e-07
254,0.00010209618,8.5737497e-07
255,9.139276e-05,8.5737497e-07
256,6.821053e-05,8.5737497e-07
257,5.957752e-05,8.5737497e-07
258,4.5057852e-05,8.5737497e-07
259,3.9484923e-05,8.5737497e-07
260,3.145191e-05,8.5737497e-07
261,2.8190005e-05,8.5737497e-07
262,2.4244831e-05,8.5737497e-07
263,8.362657e-05,8.5737497e-07
264,0.00021781621,8.5737497e-07
265,0.00012972667,8.5737497e-07
266,0.00024817244,8.5737497e-07
267,0.0005391731,8.145062e-07
268,0.0005684833,8.145062e-07
269,0.0022129498,8.145062e-07
270,0.00047577746,8.145062e-07
271,0.0021652943,8.145062e-07
272,0.0007693845,8.145062e-07
273,0.0012120892,8.145062e-07
274,0.00095477776,8.145062e-07
275,0.0013556038,8.145062e-07
276,0.0009407817,8.145062e-07
277,0.0033913765,8.145062e-07
278,0.0024691853,8.145062e-07
279,0.0027978737,8.145062e-07
280,0.0023123624,8.145062e-07
281,0.008350286,8.145062e-07
282,0.0083464505,8.145062e-07
283,0.0016939634,8.145062e-07
284,0.0041771173,8.145062e-07
285,0.0028804087,8.145062e-07
286,0.0004412872,8.145062e-07
287,0.0012029425,8.145062e-07
288,0.00042818757,8.145062e-07
289,0.00061777345,8.145062e-07
290,0.00025541775,8.145062e-07
291,0.00023957675,8.145062e-07
292,0.00017645712,8.145062e-07
293,0.00027014973,8.145062e-07
294,0.00021280411,8.145062e-07
295,0.00010498473,8.145062e-07
296,9.482752e-05,8.145062e-07
297,0.00012642308,8.145062e-07
298,0.00014365792,8.145062e-07
299,5.8636957e-05,8.145062e-07
300,4.8515943e-05,8.145062e-07
301,5.476645e-05,8.145062e-07
302,7.4112875e-05,8.145062e-07
303,3.8585353e-05,8.145062e-07
304,3.3432312e-05,8.145062e-07
305,3.5365356e-05,8.145062e-07
306,4.0228715e-05,8.145062e-07
307,3.2574448e-05,8.145062e-07
308,3.0220797e-05,8.145062e-07
309,3.412295e-05,8.145062e-07
310,3.127842e-05,8.145062e-07
311,3.12205e-05,8.145062e-07
312,2.9796754e-05,8.145062e-07
313,3.2770495e-05,8.145062e-07
314,2.9632232e-05,8.145062e-07
315,3.0082781e-05,8.145062e-07
316,2.975176e-05,8.145062e-07
317,3.027174e-05,8.145062e-07
318,2.9394176e-05,8.145062e-07
319,2.9361761e-05,8.145062e-07
320,2.9652301e-05,8.145062e-07
321,2.9034922e-05,8.145062e-07
322,2.919577e-05,8.145062e-07
323,2.8955139e-05,8.145062e-07
324,2.9088136e-05,8.145062e-07
325,2.8659802e-05,8.145062e-07
326,2.8745604e-05,8.145062e-07
327,2.8690745e-05,8.145062e-07
328,2.8483868e-05,8.145062e-07
329,2.8422844e-05,8.145062e-07
330,2.8359214e-05,8.145062e-07
331,2.8347946e-05,8.145062e-07
332,2.812162e-05,8.145062e-07
333,2.8130591e-05,8.145062e-07
334,2.7993621e-05,7.7378087e-07
335,2.7684719e-05,7.7378087e-07
336,2.7688433e-05,7.7378087e-07
337,2.751602e-05,7.7378087e-07
338,2.7602631e-05,7.7378087e-07
339,2.7412838e-05,7.7378087e-07
340,2.7408712e-05,7.7378087e-07
341,2.732552e-05,7.7378087e-07
342,2.7293061e-05,7.7378087e-07
343,2.721232e-05,7.7378087e-07
344,2.7150343e-05,7.7378087e-07
345,2.712623e-05,7.7378087e-07
346,2.7042805e-05,7.7378087e-07
347,2.7009897e-05,7.7378087e-07
348,2.6936015e-05,7.7378087e-07
349,2.6914977e-05,7.7378087e-07
350,2.685068e-05,7.7378087e-07
351,2.6796813e-05,7.7378087e-07
352,2.6766871e-05,7.7378087e-07
353,2.671114e-05,7.7378087e-07
354,2.6672482e-05,7.7378087e-07
355,2.6616484e-05,7.7378087e-07
356,2.6591404e-05,7.7378087e-07
357,2.6538619e-05,7.7378087e-07
358,2.6498868e-05,7.7378087e-07
359,2.6462609e-05,7.7378087e-07
360,2.642796e-05,7.7378087e-07
361,2.6388298e-05,7.7378087e-07
362,2.6350424e-05,7.7378087e-07
