String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
GyGy(Gy)^8Gy,511,489,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.511,0.489
GyGy(Gy)^8GxGx,517,483,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.517,0.483
GxGx(Gy)^8,529,471,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.529,0.471
GxGx(Gy)^8Gy,518,482,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.518,0.482
GxGx(Gy)^8GxGx,0,1000,"1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gy)^8GxGx,479,521,"2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.479,0.521
(GxGxGy)^2,510,490,"1, 1, 2, 1, 1, 2","1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.51,0.49
(GxGxGy)^2Gy,1000,0,"1, 1, 2, 1, 1, 2, 2","1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(GxGxGy)^2GxGx,505,495,"1, 1, 2, 1, 1, 2, 1, 1","1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.505,0.495
GyGy(GxGxGy)^2,464,536,"2, 2, 1, 1, 2, 1, 1, 2","2, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.464,0.536
GyGy(GxGxGy)^2Gy,0,1000,"2, 2, 1, 1, 2, 1, 1, 2, 2","2, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GxGxGy)^2GxGx,499,501,"2, 2, 1, 1, 2, 1, 1, 2, 1, 1","2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.499,0.501
GxGx(GxGxGy)^2,1000,0,"1, 1, 1, 1, 2, 1, 1, 2","1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GxGxGy)^2Gy,504,496,"1, 1, 1, 1, 2, 1, 1, 2, 2","1, 1, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.504,0.496
GxGx(GxGxGy)^2GxGx,461,539,"1, 1, 1, 1, 2, 1, 1, 2, 1, 1","1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.461,0.539
Gy(GxGxGy)^2,510,490,"2, 1, 1, 2, 1, 1, 2","2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.51,0.49
Gy(GxGxGy)^2Gy,496,504,"2, 1, 1, 2, 1, 1, 2, 2","2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.496,0.504
Gy(GxGxGy)^2GxGx,1000,0,"2, 1, 1, 2, 1, 1, 2, 1, 1","2, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(GiGxGx)^2,0,1000,"3, 1, 1, 3, 1, 1","3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(GiGxGx)^2Gy,495,505,"3, 1, 1, 3, 1, 1, 2","3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.495,0.505
(GiGxGx)^2GxGx,506,494,"3, 1, 1, 3, 1, 1, 1, 1","3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.506,0.494
GyGy(GiGxGx)^2,1000,0,"2, 2, 3, 1, 1, 3, 1, 1","2, 2, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GyGy(GiGxGx)^2Gy,498,502,"2, 2, 3, 1, 1, 3, 1, 1, 2","2, 2, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.498,0.502
GyGy(GiGxGx)^2GxGx,500,500,"2, 2, 3, 1, 1, 3, 1, 1, 1, 1","2, 2, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
GxGx(GiGxGx)^2,509,491,"1, 1, 3, 1, 1, 3, 1, 1","1, 1, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.509,0.491
GxGx(GiGxGx)^2Gy,515,485,"1, 1, 3, 1, 1, 3, 1, 1, 2","1, 1, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.515,0.485
GxGx(GiGxGx)^2GxGx,1000,0,"1, 1, 3, 1, 1, 3, 1, 1, 1, 1","1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
Gy(GiGxGx)^2,477,523,"2, 3, 1, 1, 3, 1, 1","2, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.477,0.523
Gy(GiGxGx)^2Gy,0,1000,"2, 3, 1, 1, 3, 1, 1, 2","2, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(GiGxGx)^2GxGx,501,499,"2, 3, 1, 1, 3, 1, 1, 1, 1","2, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.501,0.499
(GiGyGx)^2,137,863,"3, 2, 1, 3, 2, 1","3, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.137,0.863
(GiGyGx)^2Gy,486,514,"3, 2, 1, 3, 2, 1, 2","3, 2, 1, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.486,0.514
(GiGyGx)^2GxGx,857,143,"3, 2, 1, 3, 2, 1, 1, 1","3, 2, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.857,0.143
GyGy(GiGyGx)^2,837,163,"2, 2, 3, 2, 1, 3, 2, 1","2, 2, 3, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.837,0.163
GyGy(GiGyGx)^2Gy,533,467,"2, 2, 3, 2, 1, 3, 2, 1, 2","2, 2, 3, 2, 1, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.533,0.467
GyGy(GiGyGx)^2GxGx,150,850,"2, 2, 3, 2, 1, 3, 2, 1, 1, 1","2, 2, 3, 2, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.15,0.85
GxGx(GiGyGx)^2,281,719,"1, 1, 3, 2, 1, 3, 2, 1","1, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.281,0.719
GxGx(GiGyGx)^2Gy,865,135,"1, 1, 3, 2, 1, 3, 2, 1, 2","1, 1, 3, 2, 1, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.865,0.135
GxGx(GiGyGx)^2GxGx,255,745,"1, 1, 3, 2, 1, 3, 2, 1, 1, 1","1, 1, 3, 2, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.255,0.745
Gy(GiGyGx)^2,740,260,"2, 3, 2, 1, 3, 2, 1","2, 3, 2, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.74,0.26
Gy(GiGyGx)^2Gy,866,134,"2, 3, 2, 1, 3, 2, 1, 2","2, 3, 2, 1, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.866,0.134
Gy(GiGyGx)^2GxGx,723,277,"2, 3, 2, 1, 3, 2, 1, 1, 1","2, 3, 2, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.723,0.277
(GiGyGxGxGyGy),529,471,"3, 2, 1, 1, 2, 2","3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.529,0.471
(GiGyGxGxGyGy)Gy,1000,0,"3, 2, 1, 1, 2, 2, 2","3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(GiGyGxGxGyGy)GxGx,507,493,"3, 2, 1, 1, 2, 2, 1, 1","3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.507,0.493
GyGy(GiGyGxGxGyGy),527,473,"2, 2, 3, 2, 1, 1, 2, 2","2, 2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.527,0.473
GyGy(GiGyGxGxGyGy)Gy,0,1000,"2, 2, 3, 2, 1, 1, 2, 2, 2","2, 2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GiGyGxGxGyGy)GxGx,525,475,"2, 2, 3, 2, 1, 1, 2, 2, 1, 1","2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.525,0.475
GxGx(GiGyGxGxGyGy),1000,0,"1, 1, 3, 2, 1, 1, 2, 2","1, 1, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GiGyGxGxGyGy)Gy,512,488,"1, 1, 3, 2, 1, 1, 2, 2, 2","1, 1, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.512,0.488
GxGx(GiGyGxGxGyGy)GxGx,523,477,"1, 1, 3, 2, 1, 1, 2, 2, 1, 1","1, 1, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.523,0.477
Gy(GiGyGxGxGyGy),506,494,"2, 3, 2, 1, 1, 2, 2","2, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.506,0.494
Gy(GiGyGxGxGyGy)Gy,516,484,"2, 3, 2, 1, 1, 2, 2, 2","2, 3, 2, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.516,0.484
Gy(GiGyGxGxGyGy)GxGx,1000,0,"2, 3, 2, 1, 1, 2, 2, 1, 1","2, 3, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(GiGyGyGyGxGx),511,489,"3, 2, 2, 2, 1, 1","3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.511,0.489
(GiGyGyGyGxGx)Gy,1000,0,"3, 2, 2, 2, 1, 1, 2","3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(GiGyGyGyGxGx)GxGx,507,493,"3, 2, 2, 2, 1, 1, 1, 1","3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.507,0.493
GyGy(GiGyGyGyGxGx),482,518,"2, 2, 3, 2, 2, 2, 1, 1","2, 2, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.482,0.518
GyGy(GiGyGyGyGxGx)Gy,0,1000,"2, 2, 3, 2, 2, 2, 1, 1, 2","2, 2, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GiGyGyGyGxGx)GxGx,481,519,"2, 2, 3, 2, 2, 2, 1, 1, 1, 1","2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.481,0.519
GxGx(GiGyGyGyGxGx),0,1000,"1, 1, 3, 2, 2, 2, 1, 1","1, 1, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GxGx(GiGyGyGyGxGx)Gy,494,506,"1, 1, 3, 2, 2, 2, 1, 1, 2","1, 1, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.494,0.506
GxGx(GiGyGyGyGxGx)GxGx,492,508,"1, 1, 3, 2, 2, 2, 1, 1, 1, 1","1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.492,0.508
Gy(GiGyGyGyGxGx),491,509,"2, 3, 2, 2, 2, 1, 1","2, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.491,0.509
Gy(GiGyGyGyGxGx)Gy,493,507,"2, 3, 2, 2, 2, 1, 1, 2","2, 3, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.493,0.507
Gy(GiGyGyGyGxGx)GxGx,0,1000,"2, 3, 2, 2, 2, 1, 1, 1, 1","2, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(GxGxGyGxGyGy),852,148,"1, 1, 2, 1, 2, 2","1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.852,0.148
(GxGxGyGxGyGy)Gy,508,492,"1, 1, 2, 1, 2, 2, 2","1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.508,0.492
(GxGxGyGxGyGy)GxGx,147,853,"1, 1, 2, 1, 2, 2, 1, 1","1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.147,0.853
GyGy(GxGxGyGxGyGy),155,845,"2, 2, 1, 1, 2, 1, 2, 2","2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.155,0.845
GyGy(GxGxGyGxGyGy)Gy,501,499,"2, 2, 1, 1, 2, 1, 2, 2, 2","2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.501,0.499
GyGy(GxGxGyGxGyGy)GxGx,861,139,"2, 2, 1, 1, 2, 1, 2, 2, 1, 1","2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.861,0.139
GxGx(GxGxGyGxGyGy),518,482,"1, 1, 1, 1, 2, 1, 2, 2","1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.518,0.482
GxGx(GxGxGyGxGyGy)Gy,0,1000,"1, 1, 1, 1, 2, 1, 2, 2, 2","1, 1, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GxGx(GxGxGyGxGyGy)GxGx,505,495,"1, 1, 1, 1, 2, 1, 2, 2, 1, 1","1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.505,0.495
Gy(GxGxGyGxGyGy),862,138,"2, 1, 1, 2, 1, 2, 2","2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.862,0.138
Gy(GxGxGyGxGyGy)Gy,497,503,"2, 1, 1, 2, 1, 2, 2, 2","2, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.497,0.503
Gy(GxGxGyGxGyGy)GxGx,869,131,"2, 1, 1, 2, 1, 2, 2, 1, 1","2, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.869,0.131
(GiGxGyGyGyGx),233,767,"3, 1, 2, 2, 2, 1","3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.233,0.767
(GiGxGyGyGyGx)Gy,852,148,"3, 1, 2, 2, 2, 1, 2","3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.852,0.148
(GiGxGyGyGyGx)GxGx,250,750,"3, 1, 2, 2, 2, 1, 1, 1","3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.25,0.75
GyGy(GiGxGyGyGyGx),736,264,"2, 2, 3, 1, 2, 2, 2, 1","2, 2, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.736,0.264
GyGy(GiGxGyGyGyGx)Gy,138,862,"2, 2, 3, 1, 2, 2, 2, 1, 2","2, 2, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.138,0.862
GyGy(GiGxGyGyGyGx)GxGx,761,239,"2, 2, 3, 1, 2, 2, 2, 1, 1, 1","2, 2, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.761,0.239
GxGx(GiGxGyGyGyGx),241,759,"1, 1, 3, 1, 2, 2, 2, 1","1, 1, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.241,0.759
GxGx(GiGxGyGyGyGx)Gy,153,847,"1, 1, 3, 1, 2, 2, 2, 1, 2","1, 1, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.153,0.847
GxGx(GiGxGyGyGyGx)GxGx,239,761,"1, 1, 3, 1, 2, 2, 2, 1, 1, 1","1, 1, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.239,0.761
Gy(GiGxGyGyGyGx),861,139,"2, 3, 1, 2, 2, 2, 1","2, 3, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.861,0.139
Gy(GiGxGyGyGyGx)Gy,485,515,"2, 3, 1, 2, 2, 2, 1, 2","2, 3, 1, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.485,0.515
Gy(GiGxGyGyGyGx)GxGx,151,849,"2, 3, 1, 2, 2, 2, 1, 1, 1","2, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.151,0.849
(Gi)^16,1000,0,"3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0",1.0,0.0
(Gi)^16Gy,512,488,"3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 0",0.512,0.488
(Gi)^16GxGx,475,525,"3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 0",0.475,0.525
GyGy(Gi)^16,0,1000,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0",0.0,1.0
GyGy(Gi)^16Gy,507,493,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0",0.507,0.493
GyGy(Gi)^16GxGx,487,513,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1",0.487,0.513
GxGx(Gi)^16,485,515,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0",0.485,0.515
GxGx(Gi)^16Gy,492,508,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0",0.492,0.508
GxGx(Gi)^16GxGx,0,1000,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1",0.0,1.0
Gy(Gi)^16,526,474,"2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0",0.526,0.474
Gy(Gi)^16Gy,0,1000,"2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2","2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0",0.0,1.0
Gy(Gi)^16GxGx,484,516,"2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0",0.484,0.516
(Gx)^16,1000,0,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0",1.0,0.0
(Gx)^16Gy,486,514,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0",0.486,0.514
(Gx)^16GxGx,499,501,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0",0.499,0.501
GyGy(Gx)^16,0,1000,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0",0.0,1.0
GyGy(Gx)^16Gy,520,480,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0",0.52,0.48
GyGy(Gx)^16GxGx,520,480,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",0.52,0.48
GxGx(Gx)^16Gy,482,518,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0",0.482,0.518
GxGx(Gx)^16GxGx,0,1000,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",0.0,1.0
Gy(Gx)^16,514,486,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0",0.514,0.486
Gy(Gx)^16Gy,0,1000,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0",0.0,1.0
Gy(Gx)^16GxGx,505,495,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0",0.505,0.495
(Gy)^16,1000,0,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0",1.0,0.0
(Gy)^16Gy,512,488,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0",0.512,0.488
(Gy)^16GxGx,514,486,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0",0.514,0.486
